brand,model_name,price,style_tag,balance_tag,player_level,flex,description,image_path
yonex,Astrox 88D pro,5800,Power smash,Head-heavy,Intermediate,stiff,ตัวท็อปสำหรับขาโหดสายบุก เน้นตบกดจากแดนหลัง พลังทำลายล้างสูง  ขึ้นเอ็นได้สูงสุด 29 ปอนด์ ,yonex/as88d_p.png
yonex,Arcsaber 11 pro,8200,All-around,Even balance,Intermediate,stiff,สายคอนโทรลที่จริงใจ เน้นคอนโทรลทิศทาง ฟีลตีแน่นและนุ่ม สวนกลับไว ขึ้นเอ็นได้สูงสุด 28 ปอนด์ ,yonex/arc11p.png
victor,Thruster Ryuga II,5200,Power smash,Head-heavy,Intermediate,stiff,ตัวจบสำหรับสายบุกบ้าพลัง เน้นตบหนักหน่วง ลูกพุ่งออกจากหน้าไม้ไวและแรงมาก ขึ้นเอ็นได้โหดถึง 31 ปอนด์ ,victor/ryuga_ii.png
victor,Thruster_k,4800,"Power smash, Fast attack",Head-heavy,Intermediate,stiff,ไม้สายบุกที่มีความไว หน้าไม้ตัดอากาศเร็ว ตบสนุกและดาดสวนได้ดี,victor/thruster_k.png
yonex,Astrox 88 play Gen3,2000,Power smash,Head-heavy,Beginner,Medium,น้องเล็กตระกูล 88D เน้นตบแดนหลัง ก้านไม่แข็งมาก ตีสบาย,yonex/as88_pl.png
yonex,Astrox 88s game Gen3,3200,"Speed, Control / Defense",Head-Heavy,Beginner,Medium,หัวเบาค่อนหนัก มีความคล่องตัวสูง คอนโทรลหน้าเน็ตดี เหมาะกับหน้าถึงกลางคอร์ท,yonex/as88s_g.png
yonex,Astrox 100zz  VA,17000,Power smash,Head-heavy,Intermediate,Extra stiff,เป็นไม้พิเศษของ Astrox 100ZZ ที่ออกแบบร่วมกับ Viktor Axelsen เน้นพลังบุกสูงสุด,yonex/as100zz_va_p.png
yonex,Arcsaber 7 Play,2200,"All-round , Control / Defense",Even balance,Beginner,medium,ไม้สายคอนโทรลรุ่นประหยัด ตีง่าย ควบคุมทิศทางได้ดั่งใจ,yonex/arc7_pl.png
yonex,Nanoflare 1000 Play,2500,Speed,Head-light,Beginner,medium,ไม้สายสปีดที่หน้าไม้ไวสุดๆ ตัดอากาศดีมาก พลิกหน้าไม้ไว,yonex/nano1000_pl.png
yonex,Astrox 99 Play,2400,Power smash,Head-heavy,Beginner,medium,หัวหนักจิกๆ เน้นลูกตบหนักหน่วง ในงบที่จับต้องได้,yonex/as99_pl.png
yonex,Astrox 99pro,7690,Power smash,Head-heavy,Intermediate,stiff,ที่สุดของไม้สายพลัง หัวหนักที่สุดในรุ่น เน้นตบแหลก พลังทำลายล้างสูง (ไม้ Kento Momota),yonex/as99_pl.png
yonex,Nanoflare 700 pro,6600,"Fast attack , Control / Defense",Head-light,Intermediate,Medium,"ไม้ตัวท็อปสายสปีดที่ ""ตีง่าย"" ที่สุด ก้านกลาง หัวเบา พลิกไว เหมาะกับเกมเร็วและคนชอบฟิลนุ่ม",yonex/nano700_p.png
yonex,Nanoflare 800 Game,3600,Fast attack,Head-light,Intermediate,medium-stiff,หน้าไม้ตัดอากาศขั้นสุด สวนดาดเร็วๆ ได้เปรียบมาก,yonex/nano800_g.png
yonex,Astrox 77 Pro,5600,"Power smash , All-round",Head-heavy,Intermediate,medium,ไม้บุกที่ตีง่ายที่สุดในตระกูล Pro ก้านดีดช่วยส่งแรงดีมาก,yonex/as77_p.png
yonex,Astrox 100 ZZ,6500,Power smash,Head-heavy,Intermediate,extra stiff,ก้านตัน (Solid Core) ตีฟิลลิ่งแน่นๆ ตบแม่นยำ แต่ต้องมีข้อมือดี,yonex/as100zz_p.png
